GTRCAT	part	0	-49600.664334
GTRCAT	part	1	-49602.077823
GTRCAT	part	10	-49603.255540
GTRCAT	part	11	-49605.232743
GTRCAT	part	12	-49605.230483
GTRCAT	part	13	-49602.075572
GTRCAT	part	14	-49605.442578
GTRCAT	part	15	-49599.038318
GTRCAT	part	16	-49601.900590
GTRCAT	part	17	-49606.044801
GTRCAT	part	18	-49597.871393
GTRCAT	part	19	-49601.387890
GTRCAT	part	2	-49601.323428
GTRCAT	part	3	-49610.513530
GTRCAT	part	4	-49603.878006
GTRCAT	part	5	-49603.496462
GTRCAT	part	6	-49603.350572
GTRCAT	part	7	-49603.149394
GTRCAT	part	8	-49605.565239
GTRCAT	part	9	-49601.797006
GTRGAMMA	part	0	-49581.004333
GTRGAMMA	part	1	-49581.025683
GTRGAMMA	part	10	-49585.004303
GTRGAMMA	part	11	-49585.004303
GTRGAMMA	part	12	-49585.004303
GTRGAMMA	part	13	-49581.025683
GTRGAMMA	part	14	-49584.984531
GTRGAMMA	part	15	-49581.025683
GTRGAMMA	part	16	-49581.025981
GTRGAMMA	part	17	-49581.028368
GTRGAMMA	part	18	-49581.025683
GTRGAMMA	part	19	-49585.004303
GTRGAMMA	part	2	-49581.004390
GTRGAMMA	part	3	-49581.044717
GTRGAMMA	part	4	-49585.004303
GTRGAMMA	part	5	-49581.004949
GTRGAMMA	part	6	-49585.004303
GTRGAMMA	part	7	-49581.007233
GTRGAMMA	part	8	-49585.004303
GTRGAMMA	part	9	-49581.025683
GTRCAT	unpart		0	-51043.281021
GTRCAT	unpart		1	-51043.279380
GTRCAT	unpart		10	-51041.009889
GTRCAT	unpart		11	-51041.009889
GTRCAT	unpart		12	-51041.009889
GTRCAT	unpart		13	-51043.281035
GTRCAT	unpart		14	-51041.009889
GTRCAT	unpart		15	-51043.279380
GTRCAT	unpart		16	-51043.279380
GTRCAT	unpart		17	-51043.279380
GTRCAT	unpart		18	-51043.279380
GTRCAT	unpart		19	-51036.443706
GTRCAT	unpart		2	-51038.554514
GTRCAT	unpart		3	-51043.279380
GTRCAT	unpart		4	-51041.009889
GTRCAT	unpart		5	-51043.279380
GTRCAT	unpart		6	-51036.439874
GTRCAT	unpart		7	-51038.540276
GTRCAT	unpart		8	-51041.009889
GTRCAT	unpart		9	-51043.279380
GTRGAMMA		unpart	0	-51028.614523
GTRGAMMA		unpart	1	-51028.658341
GTRGAMMA		unpart	10	-51026.960941
GTRGAMMA		unpart	11	-51026.964354
GTRGAMMA		unpart	12	-51026.966019
GTRGAMMA		unpart	13	-51028.615443
GTRGAMMA		unpart	14	-51026.920281
GTRGAMMA		unpart	15	-51028.657699
GTRGAMMA		unpart	16	-51028.657788
GTRGAMMA		unpart	17	-51028.656865
GTRGAMMA		unpart	18	-51028.662055
GTRGAMMA		unpart	19	-51026.956351
GTRGAMMA		unpart	2	-51028.614559
GTRGAMMA		unpart	3	-51028.657171
GTRGAMMA		unpart	4	-51026.960362
GTRGAMMA		unpart	5	-51028.616246
GTRGAMMA		unpart	6	-51026.966125
GTRGAMMA		unpart	7	-51028.659822
GTRGAMMA		unpart	8	-51026.965974
GTRGAMMA		unpart	9	-51028.662534
